cartodb_id,the_geom,c_distri,n_distri,c_barri,n_barri,homes,dones,area,perim,coord_x,coord_y,web_1,web_2,web_3,web_4,created_at,updated_at
71,0106000020E6100000010000000103000000010000001B000000B3CDC640F0B10140EBADF57FB7B444402F6CFADAA6AF01401DECEE079CB44440AE2CDB70A7A8014016B419F747B4444024B2AB32B9A1014091D7D3262CB444406E2DC3F94F970140B60B295D02B444405E20D3D1A3920140D3822F9BEFB34440F1F03D8DCA900140A9375E27E8B344409D0D1037E68C0140E122CD76D8B34440E707FF959C8A01405541321CF4B344407B4A8581BB89014050E24CBCFEB3444021CC754610880140F7B1D4E412B4444096C1F0CB5A8A01409578746B2EB4444080C2997BF28E0140F9598D9765B44440A61B6FAAA69301401F6AD1189EB4444078215903F79501402B9F15E4B9B4444019ED001949980140E30DDAC3D5B444404C8F8ECEF09C01408CFD0DAD0DB54440194F8CB84A9F01403CF80AEA29B54440921B8952E8A30140C69F355861B544405A612B7435A60140120559CF7CB54440E448A61C89A80140414A639198B54440504BFC03DDAA0140E6991456B4B54440B78916D7C1AD014012411A8691B544408EDC2E519AAA01409C3FEB7351B54440A23A490181A80140EFF8E06429B54440C1AD4B4E67AD0140ED028A3FEEB44440B3CDC640F0B10140EBADF57FB7B44440,10,Sant Mart,71,Provenals del Poblenou,9805,10501,1104975.73673,5138.08235254,433448.21131,4584901.07656,http://www.bcn.cat/santmarti,http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm,http://www.bcn.cat/estadistica/catala/dades/guiadt10/index.htm,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri71.pdf,2015-06-30,2015-06-30
66,0106000020E610000001000000010300000001000000490000009D0D1037E68C0140E122CD76D8B344404B3FBBFE979101404124E4709FB3444097A510742994014040FA503E80B34440D426ED38A59001408781B6873BB34440952DA46A178D0140F628BB14F6B2444068DB42F182910140BF052547C0B2444050C80272DD880140593509685CB24440E459A3DE008801400433137452B24440855317D10C850140AD56455630B244404365C68E588301400A8DE0F51BB244402D16E61DF18001403C0DBB36FFB14440786BF39FBC7E0140AC005AB41AB24440284919D8187A01403ACD4F86E4B14440BFEC5E15C377014091F2DF9100B2444098FD06E191750140B41487461BB2444016D7D9F3E5770140446C708F36B24440EA3410F6967C014083C0898B6DB24440C90210CC6C7E01408455D80D83B24440EDEF29B8767E01403CF9E0448DB244402570E739897E0140B2828453A0B24440BE011C70777E0140E09CBFD9C5B2444092BF07EB817E0140C40253BCC7B244400E63A82EA77E014010BA3F71CEB244401B9643D8A57E01403615416BFBB244405150CE6FA27E0140AB701B0C6EB34440865C2401A47E0140E335802F7FB3444050B13436147E014023A0E7D37EB344407C45F0B7D97C01405606322D84B34440ADAF9642E37C014072492F0485B34440F6525A05737C0140CB3DFE9587B3444092743F63567C0140A7AEDEC28AB34440AF21EAED3A7C01403151C8AC8DB344401C98E365217C0140E40AB48490B34440D7FB8B35E77B0140594A37BF97B34440CB76669ED87B0140F2D95CFB99B34440DF5E3A9DC87B01407AFA1F0C9DB34440F8001536FC7B0140B48870EEA0B34440CA6A51782D7C014010BA2C20ACB3444061C285D6667C0140A07CC9BCB1B34440287F47C4E17C0140836B6AA1B9B344409F183A87BD7D0140C915FBABBFB34440CAECA9BCE97D01409F4E712CC1B34440BF5D99890B7E0140CA615D37C2B3444013C9E91A337E0140730B9D2EC3B34440D243EEFE3E7E014042DA1469C3B34440C0BE9F2C577E01400AE27BD3C3B344402D6030DB6D7E014098B3992AC4B344406E12E9C0847E01409A4BDC76C4B34440BAF2FBE09B7E0140395E57B8C4B34440637F6933B37E0140EE53E3EEC4B34440A66759ABCA7E01409DB87E1AC5B344405B8C310BE67E01408AFC5840C5B3444007AFCBA2017F0140F5585258C5B34440265E78481D7F0140A0B71862C5B344409C58D6FD387F01407EEF985DC5B34440A23CF3D0557F0140C4515B49C5B34440DA825A92727F014036903D25C5B3444096A321258F7F014027BE4FF1C4B3444088CF607CAB7F0140F7C5DDADC4B344402ACFF95AC77F0140F926685BC4B344402459DE3DDB7F0140A5302817C4B344408CE17658F37F014042336DB7C3B34440F6A92D180B80014030C2654CC3B344400F96677B2280014061AF11D6C2B344403D132E6D3980014040ACE254C2B344408FF32134FA800140869EF5A7BDB34440BE4C9AF3A18101400708E696C5B34440529310BA4A8201407C3A1C81CDB344404BAE72DC4D850140910702ABF1B3444021CC754610880140F7B1D4E412B444407B4A8581BB89014050E24CBCFEB34440E707FF959C8A01405541321CF4B344409D0D1037E68C0140E122CD76D8B34440,10,Sant Mart,66,el Parc i la Llacuna del Poblenou,7231,7719,1114038.06822,5339.80236202,432407.0575,4583524.05951,http://www.bcn.cat/santmarti,http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm,http://www.bcn.cat/estadistica/catala/dades/guiadt10/index.htm,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri66.pdf,2015-06-30,2015-06-30
67,0106000020E610000001000000010300000001000000480000001B3756358CA60140871E62E004B244406553D7EC6AA50140BEA59D39F7B144404264200EDFA30140C3AE772D0AB2444086DA5E9AF69D01401B1E38A8ECB144403A2EBB22879C01404BFF0AB2C4B14440EFA6D574479F01406E3F9D88A3B14440E11ED979BF9F01406DC19E29A9B14440701371A72EA1014010E09BEA97B144405CE9DE8A83A00140EF712A1486B144402CF32B09DC9F0140F9B4543E77B14440FB61F678F99E0140762BADCA65B144400C66CCF1269E0140FECBFF5457B1444002E6CC0B249D0140AF14A5BB47B14440AD130EC3199C014098B5C88E39B1444058857D93409B0140260B691B2FB1444077E242B5DF9901407481C59521B1444034EF6D5BC0980140538E2E9118B1444044525B7CE2970140406BD4FC22B1444076439B0D69990140BFBBE3782EB1444053F71E2CB09901407971A7EF2CB1444046362BD9729A0140BC96A37534B144409582AB79159B0140A81372D53BB14440A74A0473199C0140C8A5546749B144404CFCFC05839D0140A6FF26D95EB144404C7760991D9F014091EA0AE17CB14440A8553B608A9E01407FE2DCCF83B14440697C1E52449C0140D657036F68B14440590989FCAF9C01408644525763B144407D75D466589B01404B8EFD2753B144406D9186C0DC990140D72FD00965B1444044CFA4F97A9D0140DB06D59990B1444099075FF9919A01401B3AFFB7B3B14440B4ED65B7539A0140429084D0B0B14440333BFBCC159A014022D8CEB6B3B1444032658B78599601409D818CC486B144407F01DD3E9796014037E0DDD183B14440F0AB0D7159960140599306EB80B14440FF76A6BFA99801409CF21CFD64B14440DCF763A3C39901401DD2A18F4EB144403671CB7811990140B7289A9546B144407FB401BE43920140D227ADD597B14440507D527E3F910140D78156C19BB144408CEE921FFB9001406F31394DA7B144408A0D1825978C01403CB26D6674B14440A3C53382708C0140A363EAF472B14440EA91EBAB0A8C0140439B014877B14440ACEB18953A8B014098F27E6281B144407D9A6752648A0140AAF76B638BB14440760574FA7B83014026C7CE0DE0B144402D16E61DF18001403C0DBB36FFB144404365C68E588301400A8DE0F51BB24440855317D10C850140AD56455630B24440E459A3DE008801400433137452B2444050C80272DD880140593509685CB2444068DB42F182910140BF052547C0B24440D49981F93D990140F74E903363B244400385847A5D9B014011E78E8280B244402F126ACB82A201407841FC7A27B24440EEF8C3888AA20140177218D427B244403129481EA7A201407CFBFE1C29B2444029A5F33108A301403C05D7BE2DB244405CF5306B2CA301409B1C11D42FB24440A19207E3D8A30140048EE0A127B24440320977082BA4014082E2E5CC23B24440FD4166A65AA401403A18229421B244405A90C3FD5FA4014077677F5421B244407BB2E2C69DA4014074482A3A1EB24440BF88334CDEA401403966B9C31AB244403AA049211CA501402E9DC83117B24440244A9A3257A501403253C58513B2444070DE5E1E76A60140930273EC05B244401B3756358CA60140871E62E004B24440,10,Sant Mart,67,la Vila Olímpica del Poblenou,4594,4785,942886.753299,6720.43149319,432942.034506,4582646.15065,http://www.bcn.cat/santmarti,http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm,http://www.bcn.cat/estadistica/catala/dades/guiadt10/index.htm,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri67.pdf,2015-06-30,2015-06-30
62,0106000020E6100000010000000103000000010000002B0000009F0BE1907879014004A59682BDB6444068EAB3244D790140D78CAB7CA2B64440700272F2487901401B2DC90E76B644408E967505477901401E8DB6775FB644406E9D01E0127901404C6784B248B6444004525CF0BC78014014522D272BB644406579F0CBBA7801408D06A4191BB64440191BA8E8B9780140A70FE56914B64440E14E9575B778014049D82260FDB544409C17C2DD7D770140443A40E1EEB5444093BAE626387501403F046BFDD3B54440EA7BEE6024720140DFDB9D92AFB544406394C693567201406AE8111BBCB544406B17746965720140CB270444C3B54440719769415C72014050C56DFDC8B54440FA478385377201408F15677BCFB5444060FA5F86FB71014079C43828D5B5444013ACCEAB487101407F88DE05E2B544408FF223F138700140B77B4807F4B544409D0C13B02370014086488C73F5B54440D1C624BF7F6F0140DF11936C00B64440EC507305926E014071F83D6010B64440CC74A436D76D0140AB7C10071DB64440EDB52B371A6D014023D2FA2A2AB64440249DCB52D56B0140932E36A23FB644404ADD7E896F6A0140D56E056B57B64440F36485EF246A01406BCC5BD25CB64440DA483E4F97690140AB09316B67B64440CECA91EFCF68014000AE2BC975B6444065A3F6EC466B014063B3A54C77B644406E482083266B014020B0DD6AA2B6444047A1E520006B01401BF90E12A5B64440EA427116FF6A0140D1467EA0AAB64440F66CAE6A026B01402A1FCCA8ACB64440D8E1AFE9016B014069E9CBE3C0B64440DD4866DE066B0140C5D6C462C2B644408AD3B170306B0140D62DACECCEB6444069E134047D6E0140237CDCDEC6B644404DE28997FE6E0140A0CEE981C5B64440A1752F7D496F0140C2D14AB6C4B644401CEF9A434A7001402ACCE03FC3B64440EF6CB3ADDC750140F94324BABFB644409F0BE1907879014004A59682BDB64440,09,Sant Andreu,62,el Congrés i els Indians,6429,7732,407024.218378,2807.84282958,431645.471669,4586418.51249,http://www.bcn.cat/santandreu,http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm,http://www.bcn.cat/estadistica/catala/dades/guiadt09/index.htm,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri62.pdf,2015-06-30,2015-06-30
72,0106000020E610000001000000010300000001000000210000006674BE6E5090014006F03BFF0FB64440AF3ABC1B3E9101404BAF616A0DB64440B2A8BC19F29301407CF235E605B644404990A620679401403AA2519304B6444081DDEED124950140C735A76C02B64440646582C263950140B788EEBA01B64440DD1E7742A8950140938001EF00B64440B2290C7ADF9501404F3F974C00B6444099ABEB5A14960140071204A0FFB5444075EB5F933D97014093DD2258FBB54440CAF2B2E220980140778B0C8BF0B544406302510E6F9A014008AEB67FD4B54440360DBD5CBC9C014010388A7EB8B544409BCA6D48049F01402732CABE9CB544404CD200A057A1014048AF987380B54440E7DD2A18A1A20140AF6F24CB70B54440921B8952E8A30140C69F355861B54440194F8CB84A9F01403CF80AEA29B544404C8F8ECEF09C01408CFD0DAD0DB5444019ED001949980140E30DDAC3D5B4444078215903F79501402B9F15E4B9B44440A61B6FAAA69301401F6AD1189EB44440183F45DEB58E0140AB128024D9B444404B6E306C678C01401401A3B4F4B4444004A736E6FD890140B5ADFA8711B54440A39957BD118A0140920E487414B544401F5C637AAF8B0140E3C3B0265EB54440624695E7F28B0140F42665D766B544403BA87DD16B8D0140E64C85E8A1B544403F624CEF778E01403759921ED5B54440BC1A4D705C8F01403FE72162FCB544407F622FA7C78F0140C5A64AF910B644406674BE6E5090014006F03BFF0FB64440,10,Sant Mart,72,Sant Martí de Provenals,12291,13905,745406.978832,3437.38714481,433064.661938,4585548.19964,http://www.bcn.cat/santmarti,http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm,http://www.bcn.cat/estadistica/catala/dades/guiadt10/index.htm,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri72.pdf,2015-06-30,2015-06-30
61,0106000020E61000000100000001030000000100000053000000EBE3D7CE4E910140680234B2A6B64440FD14C1AADC910140DE133AB6A1B64440430A18C0269201401A37CA739FB6444058A8ECA58B9201408C8721859BB6444003AD702A3A91014004029D6355B64440B1D19454A2900140DEBEA5EE1BB644401269A804A2900140C0AC646E1AB6444068C3CE1C7C900140477E3F0014B644406674BE6E5090014006F03BFF0FB644407F622FA7C78F0140C5A64AF910B64440BC1A4D705C8F01403FE72162FCB544403F624CEF778E01403759921ED5B544403BA87DD16B8D0140E64C85E8A1B54440624695E7F28B0140F42665D766B544401F5C637AAF8B0140E3C3B0265EB54440A39957BD118A0140920E487414B5444004A736E6FD890140B5ADFA8711B544409015B084648901402F3ACC3A18B54440A115714B968701402E9D28492CB544401BF5FEB77587014061CDE78230B544406D63B13BE387014059AABC3048B54440C1CFFD040F880140D53DE51757B5444006A73AC00A880140B3DFF4835FB544402DCCE378B387014099C847B163B544404177033017830140D0C3BB2D9CB54440BC41B459DA7E0140CF5FC317D0B544406FCEC4D5A17E0140C3CB11CCD2B544406579F0CBBA7801408D06A4191BB6444004525CF0BC78014014522D272BB644406E9D01E0127901404C6784B248B644408E967505477901401E8DB6775FB64440700272F2487901401B2DC90E76B6444068EAB3244D790140D78CAB7CA2B644409F0BE1907879014004A59682BDB644401D92FE1392790140F020E572BDB64440B3038394467A0140638F9F2EC4B64440C1DED03B13790140C94892E3DEB644400D4EBE0A1079014022A70629DFB644409026A26FE37901408752B708DFB644402884A3CAF27C0140BB51C990DEB6444075A20E3E9B7F014078F77D28DEB64440C5CF567FC97F0140486BBC0ADEB64440E556C000F67F0140A32F67DBDDB644403F2B1C3B1C800140370AA69FDDB6444006E5948743800140F535763EDDB6444090B137796C80014095268BC3DCB64440056C0F99958001402F3E452ADCB644409460F1F3BD800140B76EB575DBB644403A76A669E580014076254CA6DAB64440C156E4D90B8101400985DABCD9B644402FC99E27318101406B5E0BBAD8B6444015888A363881014041BF8C82D8B64440365732B946820140EED82E0DD0B64440A517D3F166820140B60BDD01CFB64440BBEA79F488820140ABF44CEDCDB644404E686A69AB82014037A9AEEFCCB64440886FE3C9CE820140D5FD2105CCB64440E5411F04F382014096562C2ECBB6444072AC00A808830140A2C39AC6CAB64440BC7470F73883014000F334EAC9B64440948A9BA25A830140E07C4B62C9B6444050D439B67C83014013CB4BEAC8B6444041C019378F830140DA615AB2C8B6444086DC7E8C9F8301402133F780C8B64440FBB1E9BEE383014076F48BB9C7B64440876DF3E76B85014066C4F25FC2B64440BEB141F09A8501403189FFD0C1B64440598CE855D5850140BA71E117C1B644401B18831EE18501400E0A93EFC0B6444069C0C96EEC850140EFB49ECEC0B64440F4FC16D6F7850140CD520AB3C0B644405457D752038601407306AF9CC0B64440095DCE200E860140E03CE68CC0B64440DE7013139D86014094A44B6EC0B64440CEB63C0DA7860140DB89876DC0B64440B03292D7F2860140A36C2276C0B64440E36CB6B72D8701405EB8D57CC0B64440DCB60D884C880140BA51033FC2B644401F5BA01BB28C014087BE6A25C9B64440110BED4BF18F014084DF9460B1B6444041888A831490014072BEB55EB0B64440B07A4D60C2900140AABF69A1ABB64440EBE3D7CE4E910140680234B2A6B64440,09,Sant Andreu,61,la Sagrera,13634,15500,972370.712758,4410.34380893,432426.430527,4586272.89701,http://www.bcn.cat/santandreu,http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm,http://www.bcn.cat/estadistica/catala/dades/guiadt09/index.htm,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri61.pdf,2015-06-30,2015-06-30
68,0106000020E61000000100000001030000000100000038000000EDA769A01FB10140AC7B6E688AB244408111826CB7B00140CE0B84B085B244402DB7C7728AAD0140CA42E374ADB244408976896591A701409DF6683768B24440839F49857CA401402452060722B244409D1812726DA50140D0D4019014B24440C205DF5AA2A601405323E4EB05B244401B3756358CA60140871E62E004B2444070DE5E1E76A60140930273EC05B24440244A9A3257A501403253C58513B244403AA049211CA501402E9DC83117B24440BF88334CDEA401403966B9C31AB244407BB2E2C69DA4014074482A3A1EB244405A90C3FD5FA4014077677F5421B24440FD4166A65AA401403A18229421B24440320977082BA4014082E2E5CC23B24440A19207E3D8A30140048EE0A127B244405CF5306B2CA301409B1C11D42FB2444029A5F33108A301403C05D7BE2DB244403129481EA7A201407CFBFE1C29B24440EEF8C3888AA20140177218D427B244402F126ACB82A201407841FC7A27B244400385847A5D9B014011E78E8280B24440D49981F93D990140F74E903363B2444068DB42F182910140BF052547C0B24440952DA46A178D0140F628BB14F6B24440D426ED38A59001408781B6873BB3444097A510742994014040FA503E80B344404B3FBBFE979101404124E4709FB344409D0D1037E68C0140E122CD76D8B34440F1F03D8DCA900140A9375E27E8B344405E20D3D1A3920140D3822F9BEFB344406E2DC3F94F970140B60B295D02B4444024B2AB32B9A1014091D7D3262CB444406B5244B915A401407E697D6F0FB44440A48298A85DA70140868DC888E7B34440573C9616BBA80140924D28EFD6B3444037927F1907AB0140958BC1FFBAB34440861EFD2411AE0140162D9E0896B34440D78F20C2B1A901402522665E5CB344405A9199C4A9A701403FA37C9441B3444049BB64680CAD01407188D28203B34440228243AC34AD0140BE635E7305B344407105EEAE0FB0014042532141E4B24440D5712E5AC6AE0140E262CB5ACEB24440E3B132605BAE0140F07F9BF3D0B24440E8BF822F05AE01405BAE23EAD0B24440D41B6B2EA9AD01408122DB94CEB24440B1E7126E8FAC014035DC6369C1B24440A7D80C590BAE0140D34E6733AFB2444036400933C1AE014084C519A5A7B24440AAE52E052CAF014023155CC3A2B244401F8E00E892AF014059ECB6B29DB24440E8F6A3BCF5AF0140863AF77498B244403704FA2E15B10140257187E68AB24440EDA769A01FB10140AC7B6E688AB24440,10,Sant Mart,68,el Poblenou,16353,17289,1544597.83251,6358.98968856,433421.785699,4583668.81356,http://www.bcn.cat/santmarti,http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm,http://www.bcn.cat/estadistica/catala/dades/guiadt10/index.htm,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri68.pdf,2015-06-30,2015-06-30
65,0106000020E6100000010000000103000000010000003A00000004A736E6FD890140B5ADFA8711B544404B6E306C678C01401401A3B4F4B44440183F45DEB58E0140AB128024D9B44440A61B6FAAA69301401F6AD1189EB4444080C2997BF28E0140F9598D9765B4444096C1F0CB5A8A01409578746B2EB4444021CC754610880140F7B1D4E412B444404BAE72DC4D850140910702ABF1B34440529310BA4A8201407C3A1C81CDB34440BE4C9AF3A18101400708E696C5B344408FF32134FA800140869EF5A7BDB344403D132E6D3980014040ACE254C2B344400F96677B2280014061AF11D6C2B34440F6A92D180B80014030C2654CC3B344408CE17658F37F014042336DB7C3B344402459DE3DDB7F0140A5302817C4B344402ACFF95AC77F0140F926685BC4B3444088CF607CAB7F0140F7C5DDADC4B3444096A321258F7F014027BE4FF1C4B34440DA825A92727F014036903D25C5B34440A23CF3D0557F0140C4515B49C5B344409C58D6FD387F01407EEF985DC5B34440265E78481D7F0140A0B71862C5B3444007AFCBA2017F0140F5585258C5B344405B8C310BE67E01408AFC5840C5B34440A66759ABCA7E01409DB87E1AC5B34440637F6933B37E0140EE53E3EEC4B34440BAF2FBE09B7E0140395E57B8C4B344406E12E9C0847E01409A4BDC76C4B344402D6030DB6D7E014098B3992AC4B34440C0BE9F2C577E01400AE27BD3C3B34440D243EEFE3E7E014042DA1469C3B3444013C9E91A337E0140730B9D2EC3B34440BF5D99890B7E0140CA615D37C2B34440CAECA9BCE97D01409F4E712CC1B344409F183A87BD7D0140C915FBABBFB34440287F47C4E17C0140836B6AA1B9B344403EAEE0BCE079014024D3FFEEDDB34440931B5D598F77014020F412E3F9B344403F907B3957790140DB0B962F0FB44440B4279635F77901406E4BF9A916B444404FAF0C96687C01402A124EE533B444401EDF8C2B307D0140695984393DB444408D667FCBB97E014046B4A5954FB44440D309A43FC97E0140DE90E007BBB44440528C8508CA7E0140391EA17FC0B44440F9B07B7ECA7E0140ACBCEEB0C3B44440552F7F8ED27E014047CD99BDFBB4444052598D1FD47E0140D4998FA006B54440902BF01AC67E0140B23DE58028B5444077782A4F1A8001409E596AF018B54440B1FCAC17CE800140777F8FE50FB54440259999BF09830140FEA0E408F4B44440EB6BE33E68850140B4E6322211B54440731AF7CC13870140A349AFF025B54440A115714B968701402E9D28492CB544409015B084648901402F3ACC3A18B5444004A736E6FD890140B5ADFA8711B54440,10,Sant Mart,65,el Clot,13062,14108,695953.298722,3917.67973196,432396.51529,4584770.70968,http://www.bcn.cat/santmarti,http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm,http://www.bcn.cat/estadistica/catala/dades/guiadt10/index.htm,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri65.pdf,2015-06-30,2015-06-30
64,0106000020E61000000100000001030000000100000029000000902BF01AC67E0140B23DE58028B5444052598D1FD47E0140D4998FA006B54440552F7F8ED27E014047CD99BDFBB44440F9B07B7ECA7E0140ACBCEEB0C3B44440528C8508CA7E0140391EA17FC0B44440D309A43FC97E0140DE90E007BBB444408D667FCBB97E014046B4A5954FB444401EDF8C2B307D0140695984393DB444404FAF0C96687C01402A124EE533B44440B4279635F77901406E4BF9A916B444403F907B3957790140DB0B962F0FB44440931B5D598F77014020F412E3F9B344400574541CFF760140DED79ED000B44440E5E6984443750140E708022216B44440AD4DDCE1F27201409738022732B4444093FAC28DB3700140C4A7AF264DB44440882D29BD776E01400467835169B444407F3463A54A6E0140F12B2E856AB444402193293D016C0140DCE24AC385B444402EEB3F4BD26A0140E3E9B06694B444408908B211AE690140D125178EA2B444406A63A24D82680140AE488C48B1B444402A720F384B670140142C96BABEB4444053892C55CC6901401F33698ADCB44440AC1F9B5AE36B01404865B75EF5B444402BB290F04B6E0140C480174911B54440074EB718A56E014027B1D44C15B544407E561146BF6F0140CE3D8E3722B54440894A27F5247101406873A59C32B544409C9916C297710140A6E2F6F33BB54440980D4ABF1F7201402E413C8A41B544402DD46176E072014068E2B08E4AB5444074C07759277501404834301265B54440A88FD0BE887701409A180F9D80B5444072C8492CB9790140F34A204666B54440E7F05211787A0140E5B408035DB544405FB309BF237B0140F0C466F754B544406EBD3C9BF27B014038CAD6884BB5444064F867E5427C014010641F6247B544406D2437AFBC7E0140286A34EF28B54440902BF01AC67E0140B23DE58028B54440,10,Sant Mart,64,el Camp de l'Arpa del Clot,17974,20387,741732.938428,3443.18212896,431766.718053,4585022.2941,http://www.bcn.cat/santmarti,http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm,http://www.bcn.cat/estadistica/catala/dades/guiadt10/index.htm,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri64.pdf,2015-06-30,2015-06-30
63,0106000020E6100000010000000103000000010000002B000000A115714B968701402E9D28492CB54440731AF7CC13870140A349AFF025B54440EB6BE33E68850140B4E6322211B54440259999BF09830140FEA0E408F4B44440B1FCAC17CE800140777F8FE50FB5444077782A4F1A8001409E596AF018B54440902BF01AC67E0140B23DE58028B544406D2437AFBC7E0140286A34EF28B5444064F867E5427C014010641F6247B544406EBD3C9BF27B014038CAD6884BB544405FB309BF237B0140F0C466F754B54440E7F05211787A0140E5B408035DB5444072C8492CB9790140F34A204666B54440A88FD0BE887701409A180F9D80B5444074C07759277501404834301265B544402DD46176E072014068E2B08E4AB54440980D4ABF1F7201402E413C8A41B544409C9916C297710140A6E2F6F33BB5444064B4EB218971014087FBE0E749B54440F11715FF83710140695302C250B544409D4AE97C7A710140E5B66EFD63B54440DAE07FC98271014068C8DACE72B544402C8186298D71014080021AEC7BB54440517E37BBB6710140D901375B8EB54440174BD6E0BA710140056D453290B54440D41AE145CE710140EC8E599397B5444047435F50D3710140C64E617E99B54440DCF57379137201408EAC08D0AAB54440EA7BEE6024720140DFDB9D92AFB5444093BAE626387501403F046BFDD3B544409C17C2DD7D770140443A40E1EEB54440E14E9575B778014049D82260FDB54440191BA8E8B9780140A70FE56914B644406579F0CBBA7801408D06A4191BB644406FCEC4D5A17E0140C3CB11CCD2B54440BC41B459DA7E0140CF5FC317D0B544404177033017830140D0C3BB2D9CB544402DCCE378B387014099C847B163B5444006A73AC00A880140B3DFF4835FB54440C1CFFD040F880140D53DE51757B544406D63B13BE387014059AABC3048B544401BF5FEB77587014061CDE78230B54440A115714B968701402E9D28492CB54440,09,Sant Andreu,63,Navas,10262,11797,423348.090252,3209.56469463,432065.105107,4585684.74865,http://www.bcn.cat/santandreu,http://www.bcn.cat/estadistica/catala/dades/inf/anuari/index.htm,http://www.bcn.cat/estadistica/catala/dades/guiadt09/index.htm,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri63.pdf,2015-06-30,2015-06-30
